Name,Sex,NOC,Year,Sport,Event,Medal,GDP,Population
Liliya Oleksandrivna Podkopaieva (-Nahorniy),F,UKR,1996,Gymnastics,Gymnastics Women's Floor Exercise,Gold,4.46E+10,51060000
Claudia Mara Poll Ahrens,F,CRC,1996,Swimming,Swimming Women's 200 metres Freestyle,Gold,1.16E+10,3632000
Marioara Popescu-Ciobanu,F,ROU,1996,Rowing,Rowing Women's Coxed Eights,Gold,3.69E+10,22660000
Aleksandr Vladimirovich Popov,M,RUS,1996,Swimming,Swimming Men's 50 metres Freestyle,Gold,3.92E+11,148200000
Aleksandr Vladimirovich Popov,M,RUS,1996,Swimming,Swimming Men's 100 metres Freestyle,Gold,3.92E+11,148200000
Ramona Portwich,F,GER,1996,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,2.50E+12,81820000
Jan Marcus Posthuma,M,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold,4.51E+11,15490000
Thomas Poulsen,M,DEN,1996,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,1.88E+11,5251000
"Katrina Maree ""Triny"" Powell",F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Lisa Josephine Powell-Carruthers,F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Stanislav Alekseyevich Pozdnyakov,M,RUS,1996,Fencing,"Fencing Men's Sabre, Individual",Gold,3.92E+11,148200000
Stanislav Alekseyevich Pozdnyakov,M,RUS,1996,Fencing,"Fencing Men's Sabre, Team",Gold,3.92E+11,148200000
Iztok Puc,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Alessandro Puccini,M,ITA,1996,Fencing,"Fencing Men's Foil, Individual",Gold,1.31E+12,56840000
Qiao Hong,F,CHN,1996,Table Tennis,Table Tennis Women's Doubles,Gold,8.64E+11,1218000000
Kristine Lora Quance (-Julian),F,USA,1996,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
Udo Gnther Quellmalz,M,GER,1996,Judo,Judo Men's Half-Lightweight,Gold,2.50E+12,81820000
Maurizio Randazzo,M,ITA,1996,Fencing,"Fencing Men's epee, Team",Gold,1.31E+12,56840000
Lene Rantala,F,DEN,1996,Handball,Handball Women's Handball,Gold,1.88E+11,5251000
Heli Orvokki Rantanen,F,FIN,1996,Athletics,Athletics Women's Javelin Throw,Gold,1.32E+11,5117000
"Stephen Geoffrey ""Steven"" Redgrave",M,GBR,1996,Rowing,Rowing Men's Coxless Pairs,Gold,1.42E+12,58090000
David Terrell Reid,M,USA,1996,Boxing,Boxing Men's Light-Middleweight,Gold,8.07E+12,269700000
Thomas Reineck,M,GER,1996,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,2.50E+12,81820000
Marie-Claire Restoux,F,FRA,1996,Judo,Judo Women's Half-Lightweight,Gold,1.61E+12,59750000
"Kimberly Susan ""Kim"" Rhode (-Harryman)",F,USA,1996,Shooting,Shooting Women's Double Trap,Gold,8.07E+12,269700000
Maria Fernanda Moreira Ribeiro,F,POR,1996,Athletics,"Athletics Women's 10,000 metres",Gold,1.23E+11,10040000
Pascal Richard,M,SUI,1996,Cycling,"Cycling Men's Road Race, Individual",Gold,3.30E+11,7062000
"Dorothy Gay ""Dot"" Richardson",F,USA,1996,Softball,Softball Women's Softball,Gold,8.07E+12,269700000
"Mitchell James ""Mitch"" Richmond, III",M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
Lars Peter Riedel,M,GER,1996,Athletics,Athletics Men's Discus Throw,Gold,2.50E+12,81820000
"Nicolaas Hessel ""Nico"" Rienks",M,NED,1996,Rowing,Rowing Men's Coxed Eights,Gold,4.51E+11,15490000
Fatuma Roba,F,ETH,1996,Athletics,Athletics Women's Marathon,Gold,8.55E+09,58880000
Tiffany Marie Roberts (-Sahaydak),F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
David Maurice Robinson,M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
"Danielle ""Danni"" Roche",F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Vebjrn Rodal,M,NOR,1996,Athletics,Athletics Men's 800 metres,Gold,1.64E+11,4370000
"Engelbrecht ""Brecht"" Rodenburg",M,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold,4.51E+11,15490000
Jess Miguel Rolln Prada,M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
Gillian Rolton,F,AUS,1996,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,4.00E+13,18310000
Maikro Eusebio Romero Esquivel,M,CUB,1996,Boxing,Boxing Men's Flyweight,Gold,2.50E+10,10990000
Ormari Romero Turcas,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
Antonio Rossi,M,ITA,1996,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold,1.31E+12,56840000
Antonio Rossi,M,ITA,1996,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold,1.31E+12,56840000
Kristine Roug,F,DEN,1996,Sailing,Sailing Women's One Person Dinghy,Gold,1.88E+11,5251000
"Jeffrey Norman ""Jeff"" Rouse",M,USA,1996,Swimming,Swimming Men's 100 metres Backstroke,Gold,8.07E+12,269700000
"Jeffrey Norman ""Jeff"" Rouse",M,USA,1996,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,8.07E+12,269700000
Jason Rouser,M,USA,1996,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,8.07E+12,269700000
Florian Georges Philippe Rousseau,M,FRA,1996,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,1.61E+12,59750000
Norbert Rzsa,M,HUN,1996,Swimming,Swimming Men's 200 metres Breaststroke,Gold,4.67E+10,10320000
Yumilka Ruz Luaces,F,CUB,1996,Volleyball,Volleyball Women's Volleyball,Gold,2.50E+10,10990000
Katrin Rutschow-Stomporowski,F,GER,1996,Rowing,Rowing Women's Quadruple Sculls,Gold,2.50E+12,81820000
Oleg Elekpayevich Saitov,M,RUS,1996,Boxing,Boxing Men's Welterweight,Gold,3.92E+11,148200000
Annette Elizabeth Salmeen,F,USA,1996,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,8.07E+12,269700000
Sandra Tavares Pires Nascimento,F,BRA,1996,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold,1.46E+12,162000000
Jordi Sans Juan,M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
Carles Sanz Lpez,M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
"Zlatko ""Zlatan"" Saraevi",M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Dmitry Ivanovich Sautin,M,RUS,1996,Diving,Diving Men's Platform,Gold,3.92E+11,148200000
Jill Savery,F,USA,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,8.07E+12,269700000
Flix Savn Fabr,M,CUB,1996,Boxing,Boxing Men's Heavyweight,Gold,2.50E+10,10990000
Buvaysar Khamidovich Saytiyev,M,RUS,1996,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,3.92E+11,148200000
Daniele Scarpa,M,ITA,1996,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold,1.31E+12,56840000
Wendy Lynn Schaeffer,F,AUS,1996,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,4.00E+13,18310000
Martin Schaudt,M,GER,1996,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold,2.50E+12,81820000
Robert Scheidt,M,BRA,1996,Sailing,Sailing Mixed One Person Dinghy,Gold,1.46E+12,162000000
Nathalie Schneyder (-Bartleson),F,USA,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,8.07E+12,269700000
Anett Schuck,F,GER,1996,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold,2.50E+12,81820000
"Richard ""Rich"" Schuil",M,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold,4.51E+11,15490000
